Term,Derived From (Genealogy),Related Terms (Concept Constellation)
AIM (Adaptive Inclusive & Moral Political Economy),"Polytunity; Industrial-Colonial Paradigm (contrast)","Polytunity; Polycrisis; Industrial-Colonial Paradigm; Mechanical Thinking; Western-Centric Thinking; Adaptive Political Economy; Complex vs. Complicated; Influence vs. Control; Uncertainty vs. Risk; Adapt vs. Change; Meta-Institutions; Coevolutionary Development; Autocracy with Democratic Characteristics; Margins of the Establishment; Fairy Tales of Western Development; Access Money"
APE (Adaptive Political Economy),"AIM; Complex vs. Complicated; Coevolutionary Development; Mapping Coevolution","Paradigm; AIM; Complex vs. Complicated; Influence vs. Control; Uncertainty vs. Risk; Coevolutionary Development; Mapping Coevolution"
Access Money,"AIM; Unbundled Corruption Index (UCI); Unbundling Corruption; Industrial-Colonial Paradigm (contrast)","Coevolutionary Development; Fairy Tales of Western Development; Unbundling Corruption; Steroids of Capitalism; Speed Money; Unbundled Corruption Index (UCI)"
Adapt vs. Change,"Adaptive Political Economy; Complex vs. Complicated; Variation Selection & Niche Creation; Coevolutionary Development; Mapping Coevolution","Adaptive Political Economy; Complex vs. Complicated; Variation Selection & Niche Creation; Coevolutionary Development; Mapping Coevolution; Enabling Adaptation; Gradual Institutional Change"
Adaptive Efficiency,"Adaptive Political Economy; Meta-Institutions; Directed Improvisation; Mechanical Thinking (contrast)","Adaptive Political Economy; Influence vs. Control; Meta-Institutions; Enabling Adaptation; Variation Selection & Niche Creation; Directed Improvisation"
Adaptive Fiscal Capacity,"AIM; Adaptive Political Economy; Coevolutionary Development (United States); Fairy Tales of Western Development","Adaptive Political Economy; Fairy Tales of Western Development; Coevolutionary Development (United States as Demonstration); Market-Building vs. Market-Preserving; Stage-Variant Institutions; Normatively Weak Functionally Strong"
Adaptive Policy Communication,"AIM; Adaptive Political Economy; Complex; Influence vs. Control; Meta-Institutions; Function of Policy Ambiguity; Industrial-Colonial Paradigm (contrast)","Adaptive Political Economy; Influence vs. Control; Uncertainty vs. Risk; Meta-Institutions; Directed Improvisation; Enabling Adaptation; Function of Policy Ambiguity; Expert-Directed LLM Annotation"
Autocracy with Democratic Characteristics,"AIM; Inclusive Pillar; Normatively Weak Functionally Strong; Industrial-Colonial Paradigm (contrast)","Western-Centric Thinking; Normatively Weak Functionally Strong; Directed Improvisation (China as Demonstration)"
Chicken-and-Egg Fallacy of Development,"Industrial-Colonial Paradigm; Mechanical Thinking; Coevolutionary Development (contrast); Using What You Have","Complex vs. Complicated; Coevolutionary Development; Mapping Coevolution; Normatively Weak Functionally Strong; Market-Building vs. Market-Preserving; Using What You Have"
China's Economic Paradox,"AIM; Adaptive Pillar; Moral Pillar; Mechanical Thinking (contrast); Western-Centric Thinking (contrast)","Mechanical Thinking; Western-Centric Thinking; AIM; Adaptive Political Economy; Margins of the Establishment; Directed Improvisation; Peak China"
Coevolutionary Development,"AIM; Adaptive Political Economy; Mapping Coevolution; Industrial-Colonial Paradigm (contrast)","AIM; Adapt vs. Change; Variation Selection & Niche Creation; Market-Building vs. Market-Preserving; Stage-Variant Institutions; Normatively Weak Functionally Strong; Chicken-and-Egg Fallacy of Development; Mapping Coevolution; Directed Improvisation"
Coevolutionary Development (China as Demonstration),"AIM; Adaptive Political Economy; Coevolutionary Development; Directed Improvisation (China)","Chicken-and-Egg Fallacy of Development; Mapping Coevolution; Market-Building vs. Market-Preserving; Stage-Variant Institutions; Normatively Weak Functionally Strong; Directed Improvisation (China as Demonstration)"
